municipio_nome,segmento,quantidade,score_medio,hot_leads,ltv_total_estimado,ltv_hot_leads_estimado
SANTOS,High Ticket,5899,87.7,4378,283152000,210144000
SANTOS,Low Ticket,72573,66.3,6453,261262800,23230800
PRAIA GRANDE,High Ticket,1656,86.8,1176,79488000,56448000
PRAIA GRANDE,Low Ticket,56107,64.5,2082,201985200,7495200
SAO VICENTE,High Ticket,723,88.2,566,34704000,27168000
SAO VICENTE,Low Ticket,47108,64.4,1365,169588800,4914000
GUARUJA,High Ticket,1127,86.2,773,54096000,37104000
GUARUJA,Low Ticket,42284,64.3,1563,152222400,5626800
ITANHAEM,High Ticket,311,86.2,226,14928000,10848000
ITANHAEM,Low Ticket,14608,65.1,536,52588800,1929600
CUBATAO,High Ticket,347,90.2,298,16656000,14304000
CUBATAO,Low Ticket,12970,63.8,497,46692000,1789200
PERUIBE,High Ticket,300,85.1,211,14400000,10128000
PERUIBE,Low Ticket,10727,65.9,587,38617200,2113200
BERTIOGA,High Ticket,599,85.9,368,28752000,17664000
BERTIOGA,Low Ticket,10252,65.7,678,36907200,2440800
MONGAGUA,High Ticket,206,88.2,159,9888000,7632000
MONGAGUA,Low Ticket,9359,63.9,326,33692400,1173600
